nohup: ignoring input
I1203 17:24:19.298826  389329 collector.go:206] Starting IPFIX collector
I1203 17:24:19.299627  389329 process.go:142] "Initializing the collecting process" encrypted=false address="0.0.0.0:4739" protocol="tcp" maxBufferSize=65535 templateTTL="0s" numExtraElements=0 decodingMode="Strict"
I1203 17:24:19.299755  389329 collector.go:278] "Server listening on :8080"
I1203 17:24:19.299988  389329 process.go:174] Starting the collecting process
I1203 17:24:19.300027  389329 tcp.go:39] Start TCP collecting process on [::]:4739
I1203 17:25:25.734940  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1001
I1203 17:25:25.734980  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.735001  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.755192  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1002
I1203 17:25:25.755234  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.755250  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.775296  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1003
I1203 17:25:25.775337  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.775351  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.795404  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1004
I1203 17:25:25.795444  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.795457  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.815561  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1005
I1203 17:25:25.815600  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.815618  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.835669  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1006
I1203 17:25:25.835718  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.835730  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.855712  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1007
I1203 17:25:25.855743  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.855750  389329 collector.go:260] Processing IPFIX message
I1203 17:25:25.875821  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1008
I1203 17:25:25.875854  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:25.875860  389329 collector.go:260] Processing IPFIX message
